timestamp,region_name,service_category,actual_usage,allocated_capacity,operational_cost,availability_ratio,net_customer_change,is_weekend,business_confidence_index,cloud_adoption_index
2024-01-01,India-South,compute,661.73,769.57,54.58860837985069,0.9692,-2.0,0,61.18483412322275,0.5
2024-01-01,India-West,compute,615.45,726.01,50.81659744748253,0.9612,-2.0,0,59.09952606635072,0.5
2024-01-01,US-East,compute,883.0999999999999,883.0999999999999,141.11,0.9856,15.0,0,59.58925750394944,0.5
2024-01-01,US-East,storage,811.69,815.76,96.98,0.94,14.0,0,53.47551342812007,0.5
2024-01-01,India-South,storage,484.54,523.87,40.84,0.999,8.0,0,58.2780410742496,0.5
2024-01-01,US-West,compute,1122.65,1181.1,134.41,0.9634,10.0,0,53.17535545023698,0.5
2024-01-01,US-West,storage,734.72,758.0,84.83,0.999,17.0,0,54.1864139020537,0.5
2024-01-01,India-West,storage,403.62,485.54,34.65,0.9895,14.0,0,66.20853080568722,0.5
2024-01-02,US-West,storage,736.75,740.57,90.15,0.9798,1.0,0,44.96050552922591,0.5
2024-01-02,US-West,compute,1181.21,1181.21,144.35,0.9637,0.0,0,63.7914691943128,0.5
2024-01-02,India-South,storage,513.97,638.8,41.03,0.9724,5.0,0,68.05687203791469,0.5
2024-01-02,India-South,compute,667.61,718.37,57.76,0.9692,5.0,0,57.2827804107425,0.5
2024-01-02,India-West,compute,759.54,789.13,60.86,0.9672,5.0,0,62.48025276461294,0.5
2024-01-02,India-West,storage,353.51,374.87,30.82,0.983,6.0,0,58.57819905213269,0.5
2024-01-02,US-East,storage,775.41,776.31,89.3,0.968,14.0,0,53.00157977883095,0.5
2024-01-02,US-East,compute,1186.44,1257.52,144.99,0.9674,10.0,0,50.04739336492891,0.5
2024-01-03,US-West,storage,738.52,791.44,91.75,0.9933,14.0,0,58.13586097946286,0.501
2024-01-03,India-South,storage,436.82,511.04,36.0,0.978,9.0,0,52.85939968404424,0.501
2024-01-03,US-East,compute,1325.46,1456.09,151.92,0.9754,8.0,0,52.63823064770932,0.501
2024-01-03,India-South,compute,830.78,867.96,70.04,0.9692,12.0,0,52.60663507109003,0.501
2024-01-03,India-West,compute,721.8,721.8,56.85,0.9672,24.0,0,58.64139020537125,0.501
2024-01-03,US-West,compute,1068.02,1257.73,125.42,0.999,7.0,0,50.94786729857819,0.501
2024-01-03,India-West,storage,532.44,580.42,46.12,0.9934,15.0,0,62.18009478672985,0.501
2024-01-03,US-East,storage,628.7,632.13,82.64,0.9844,13.0,0,57.77251184834124,0.501
2024-01-04,India-South,storage,615.39,640.34,48.34,0.9699,-6.0,0,55.35545023696682,0.501
2024-01-04,US-East,compute,1172.06,1208.87,151.1,0.9531,-3.0,0,55.71879936808848,0.501
2024-01-04,US-West,storage,623.08,755.76,80.59,0.9817,9.0,0,60.91627172195892,0.501
2024-01-04,India-West,storage,601.07,601.07,50.05,0.999,-6.0,0,61.62717219589258,0.501
2024-01-04,India-South,compute,834.93,931.76,70.42,0.9904,-11.0,0,59.826224328594,0.501
2024-01-04,US-East,storage,757.67,944.11,93.50766622939801,0.9844,13.0,0,58.499210110584514,0.501
2024-01-04,US-West,compute,994.7,1156.58,114.91,0.9973,0.0,0,50.30015797788309,0.501
2024-01-04,India-West,compute,916.17,1061.31,72.86,0.9847,2.0,0,63.222748815165886,0.501
2024-01-05,India-South,storage,473.71,586.31,38.14,0.999,6.0,0,52.02211690363349,0.501
2024-01-05,India-West,compute,338.53,338.53,30.27,0.9978,5.0,0,56.65086887835702,0.501
2024-01-05,India-West,storage,457.0,516.09,39.06,0.9791,-1.0,0,50.75829383886257,0.501
2024-01-05,US-West,storage,626.3,643.65,76.9,0.9633,8.0,0,58.53080568720378,0.501
2024-01-05,US-East,storage,909.31,992.66,105.62,0.999,12.0,0,61.57977883096367,0.501
2024-01-05,US-West,compute,1140.85,1219.32,135.63,0.9665,1.0,0,65.46603475513427,0.501
2024-01-05,India-South,compute,699.51,699.51,57.17,0.9437,11.0,0,62.22748815165876,0.501
2024-01-05,US-East,compute,1143.8,1300.49,141.52210039120612,0.9764,0.0,0,51.13744075829384,0.501
2024-01-06,India-South,storage,448.08,494.74,34.44,0.999,0.0,1,52.98578199052133,0.501
2024-01-06,India-West,compute,712.85,762.56,56.58,0.995,-6.0,1,53.31753554502369,0.501
2024-01-06,India-West,storage,471.84,555.51,37.05,0.9671,15.0,1,60.61611374407583,0.501
2024-01-06,India-South,compute,724.49,769.75,61.64,0.9668,1.0,1,60.56872037914692,0.501
