timestamp,actual_usage,allocated_capacity,operational_cost,availability_ratio,net_customer_change,is_weekend,business_confidence_index,cloud_adoption_index,day,weekday,lag_1_usage,lag_7_usage,rolling_mean_3,usage_spike,customer_growth_flag,region_name_India-West,region_name_US-East,region_name_US-West,service_category_storage
2024-01-01,661.73,769.57,54.58860837985069,0.9692,-2.0,0,61.18483412322275,0.5,1,0,,,,0,0,0,0,0,0
2024-01-02,667.61,718.37,57.76,0.9692,5.0,0,57.2827804107425,0.5,2,1,661.73,,,0,1,0,0,0,0
2024-01-03,830.78,867.96,70.04,0.9692,12.0,0,52.60663507109003,0.501,3,2,667.61,,720.04,0,1,0,0,0,0
2024-01-04,834.93,931.76,70.42,0.9904,-11.0,0,59.826224328594,0.501,4,3,830.78,,777.7733333333332,0,0,0,0,0,0
2024-01-05,699.51,699.51,57.17,0.9437,11.0,0,62.22748815165876,0.501,5,4,834.93,,788.4066666666666,0,1,0,0,0,0
2024-01-06,724.49,769.75,61.64,0.9668,1.0,1,60.56872037914692,0.501,6,5,699.51,,752.9766666666668,0,1,0,0,0,0
2024-01-07,647.57,728.13,51.45,0.9621,19.0,1,55.40284360189574,0.502,7,6,724.49,,690.5233333333334,0,1,0,0,0,0
2024-01-08,836.72,836.93,67.75,0.9621,-13.0,0,60.66350710900474,0.502,8,0,647.57,661.73,736.2600000000001,0,0,0,0,0,0
2024-01-09,757.14,852.85,60.47,0.9652,1.0,0,63.90205371248025,0.502,9,1,836.72,667.61,747.1433333333334,0,1,0,0,0,0
2024-01-10,761.12,848.05,58.12,0.999,19.0,0,47.81990521327015,0.502,10,2,757.14,830.78,784.9933333333333,0,1,0,0,0,0
2024-01-11,775.57,802.0,59.31,0.9675,-3.0,0,62.05371248025276,0.503,11,3,761.12,834.93,764.61,0,0,0,0,0,0
2024-01-12,767.24,793.23,65.98,0.9514,0.0,0,59.30489731437599,0.503,12,4,775.57,699.51,767.9766666666668,0,0,0,0,0,0
2024-01-12,819.72,819.72,66.06,0.9848,2.0,0,62.74881516587677,0.503,12,4,767.24,724.49,787.5100000000001,0,1,0,0,0,0
2024-01-13,754.79,817.1133333333333,64.34,0.9601,18.0,1,70.60031595576618,0.503,13,5,819.72,647.57,780.5833333333334,0,1,0,0,0,0
2024-01-14,664.85,814.5066666666667,55.32,0.999,8.0,1,58.07266982622433,0.504,14,6,754.79,836.72,746.4533333333334,0,1,0,0,0,0
2024-01-15,808.82,811.9,63.77,0.9479,-4.0,0,53.112164296998415,0.504,15,0,664.85,757.14,742.82,0,0,0,0,0,0
2024-01-16,858.71,989.91,71.95,0.9895,17.0,0,50.584518167456565,0.504,16,1,808.82,761.12,777.46,0,1,0,0,0,0
2024-01-17,745.59,887.5,64.85,0.999,-4.0,0,64.58135860979465,0.504,17,2,858.71,775.57,804.3733333333334,0,0,0,0,0,0
2024-01-18,827.31,928.45,64.07,0.9877,0.0,0,57.64612954186414,0.505,18,3,745.59,767.24,810.5366666666667,0,0,0,0,0,0
2024-01-19,769.94,930.52,62.57,0.98,5.0,0,42.0695102685624,0.505,19,4,827.31,819.72,780.9466666666667,0,1,0,0,0,0
2024-01-20,688.99,809.81,52.86,0.9546,-4.0,1,53.222748815165865,0.505,20,5,769.94,754.79,762.0799999999999,0,0,0,0,0,0
