timestamp,region_name,service_category,actual_usage,allocated_capacity,operational_cost,availability_ratio,net_customer_change,is_weekend,business_confidence_index,cloud_adoption_index
2025-10-14,india-south,compute,968.62,1020.95,80.53,1.0,9.0,0,55.9399684044234,0.678
2025-08-31,us-west,storage,773.73,765.81,93.64,0.9736,-6.0,1,56.44549763033176,0.666
2024-07-16,India South,compute,1114.57,1380.34,140.46,0.9777,7.0,0,52.00631911532385,0.554
2025-10-30,us-east,storage,858.88,831.27,106.9,,5.0,0,64.75513428120064,0.683
2024-09-30,india-south,compute,878.85,837.11,73.44,0.985,,0,61.21642969984202,0.575
2025-04-06,us-west,compute,1098.82,1051.11,140.47,0.9784,7.0,1,59.3522906793049,0.626
2025-07-27,us-west,compute,1111.96,,135.26,,17.0,1,47.946287519747244,0.657
2025-08-13,india-south,compute,1011.02,1102.17,86.29,0.97,-8.0,0,72.93838862559241,0.661
2025-01-18,india-west,storage,435.98,426.37,34.94,1.0,2.0,1,43.06477093206951,0.605
2024-11-12,india-south,storage,662.97,660.63,54.67,0.9932,0.0,0,58.341232227488156,0.586
2025-05-13,us-east,storage,768.61,955.23,91.92,1.0,0.0,0,48.32543443917851,0.636
2024-11-08,us-west,storage,,884.47,,1.0,17.0,0,66.95102685624013,0.585
2025-08-17,india-south,compute,928.89,964.27,80.68,0.9918,10.0,1,56.003159557661924,0.663
2025-04-07,us-west,compute,1125.92,1338.35,129.1,,18.0,0,60.04739336492891,0.626
2025-04-14,india-south,storage,530.38,622.61,44.62,0.9575,-8.0,0,53.996840442338076,0.628
2024-02-21,us-west,storage,575.97,708.32,74.93,0.9691,-5.0,0,58.54660347551342,0.514
2025-04-27,us-west,storage,658.26,658.71,78.91,0.9671,1.0,1,52.92259083728277,0.632
2024-06-09,india-west,compute,577.94,604.33,44.55,0.9784,0.0,1,38.12006319115324,0.544
2025-01-30,india-west,storage,587.24,719.82,,0.9863,-1.0,0,68.48341232227489,0.608
2024-03-21,india-west,storage,537.3,662.34,43.06,0.9948999999999999,5.0,0,64.10742496050553,0.522
2025-03-08,india-south,compute,674.01,782.98,55.37,1.0,17.0,1,46.650868878357024,0.618
2025-08-01,us-west,storage,795.64,982.39,97.06,0.98,-23.0,0,58.515007898894154,0.658
2024-11-28,us-west,storage,882.94,1035.88,116.0,0.9693999999999999,0.0,0,59.0047393364929,0.591
2024-10-16,us-east,storage,828.25,956.12,105.09,0.9643999999999999,7.0,0,58.2780410742496,0.579
2025-07-27,india-south,compute,727.66,854.05,62.11,0.9799,,1,52.11690363349132,0.657
2025-10-03,india-west,compute,678.92,847.5,53.1,1.0,-10.0,0,55.9399684044234,0.675
2024-10-13,us-west,compute,,1214.22,122.14,0.9681000000000001,8.0,1,52.65402843601895,0.578
2025-07-14,us-west,compute,2560.91,2597.78,296.29,1.0,7.0,0,62.211690363349135,0.653
2025-11-01,us-east,compute,943.16,1092.79,114.96,1.0,23.0,1,48.467614533965246,0.683
2024-12-25,us-east,compute,1397.58,1369.02,165.16,0.9972,10.0,0,69.16271721958925,0.598
2025-02-11,us-east,compute,1313.49,1470.79,153.46,0.9828,24.0,0,56.0821484992101,0.611
2025-11-15,us-east,compute,1201.78,1195.64,146.73,0.9834,4.0,1,60.821484992101105,0.687
2024-10-09,india-south,compute,696.46,703.01,,0.9690000000000001,10.0,0,50.600315955766185,0.577
2025-03-16,india-west,compute,614.14,583.53,51.3,0.9891,0.0,1,66.41390205371249,0.62
2024-03-09,india-west,compute,531.22,645.23,45.29,0.9838,,1,66.33491311216432,0.519
2024-06-03,India South,storage,861.07,977.7,103.46,0.9784,1.0,0,60.53712480252766,0.542
2024-12-29,india-south,storage,620.48,735.5,54.48,,2.0,1,53.55450236966825,0.599
2024-08-05,us-east,compute,1430.91,1606.35,174.17,,-2.0,0,66.9826224328594,0.559
2024-07-18,india-south,storage,478.86,551.74,38.81,0.9677,5.0,0,53.55450236966825,0.554
2024-04-24,us-east,compute,1034.16,1184.47,129.45,1.0,0.0,0,52.25908372827803,0.531
2025-10-06,us-west,compute,1230.22,1222.47,147.39,0.885,0.0,0,62.59083728278041,0.676
2024-08-05,india-south,compute,,793.77,56.76,1.0,1.0,0,67.67772511848341,0.559
2024-04-13,us-east,compute,1054.71,,131.4,,-6.0,1,55.00789889415482,0.528
2025-12-03,us-east,compute,1365.9,1688.9,179.29,0.9716,15.0,0,53.66508688783569,0.692
2025-05-27,india-west,storage,566.81,547.08,46.23,0.9778,7.0,0,53.459715639810426,0.64
2025-08-21,us-west,storage,661.51,734.73,82.51,0.9444,2.0,0,45.845181674565566,0.664
2025-09-03,us-west,compute,1363.98,1488.83,162.35,1.0,12.0,0,75.10268562401265,0.667
2024-03-12,india-south,compute,979.48,1031.49,79.12,,-5.0,0,61.769352290679315,0.519
2024-09-14,us-east,storage,648.05,759.41,81.41,0.9833,-6.0,1,53.206951026856245,0.57
2025-09-21,india-west,compute,764.05,940.74,64.42,0.9841,0.0,1,54.423380726698255,0.672
2025-12-24,us-west,compute,1058.09,1172.34,131.4,0.9799,-8.0,0,50.45813586097945,0.698
2025-12-22,us-west,compute,1378.85,1566.01,175.2,0.9932,-11.0,0,57.78830963665086,0.697
2024-04-15,india-south,compute,815.95,967.1,70.43,0.9536,24.0,0,54.154818325434434,0.529
2024-10-16,us-east,compute,1093.49,1101.89,130.75,0.9786,8.0,0,55.829383886255926,0.579
2025-08-29,india-west,storage,423.58,497.12,34.92,0.968,21.0,0,47.93048973143759,0.666
2025-11-04,us-west,storage,745.86,928.03,93.59,0.9753000000000001,3.0,0,64.18641390205372,0.684
2024-06-22,india-west,compute,772.46,888.78,,0.9654,0.0,1,56.3349131121643,0.547
2024-11-27,india-west,compute,720.44,843.01,,0.9754,1.0,0,49.74723538704582,0.591
2024-03-17,us-west,storage,598.89,636.99,77.09,1.0,11.0,1,55.24486571879936,0.521
2025-12-26,us-east,storage,662.65,807.0,87.45,0.9771,3.0,0,55.955766192733016,0.698
2025-08-07,india-west,storage,604.77,602.7,50.76,1.0,-5.0,0,52.685624012638236,0.66
2024-01-09,us-west,storage,801.47,831.65,104.8,1.0,9.0,0,63.349131121642976,0.502
2025-08-12,us-east,storage,827.44,877.48,,0.9859,-13.0,0,45.5608214849921,0.661
2024-05-16,india-west,compute,742.23,829.61,59.96,1.0,9.0,0,57.393364928909946,0.537
